"operation","parameter","simple","input.size","subset.ratio","overlap.ratio","range.a","range.b","range.mirror","epsilon","threshold","extrapolation.range"
"op-add","simple",TRUE,4,NA,NA,2,6,FALSE,1e-05,2.66721339691539e-08,"U[2,6]"
"op-add","default",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,1.47849102179135e-05,"U[2,6]"
"op-div","default",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,4.95475907937621e-12,"U[2,6]"
"op-mul","default",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,0.160052340935871,"U[2,6]"
"op-mul","input.size",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,0.160027189905821,"U[2,6]"
"op-mul","input.size",FALSE,125,0.25,0.5,2,6,FALSE,1e-05,0.391184334232248,"U[2,6]"
"op-mul","input.size",FALSE,150,0.25,0.5,2,6,FALSE,1e-05,0.811649666824042,"U[2,6]"
"op-mul","input.size",FALSE,175,0.25,0.5,2,6,FALSE,1e-05,1.50324533692627,"U[2,6]"
"op-mul","input.size",FALSE,200,0.25,0.5,2,6,FALSE,1e-05,2.56234384503474,"U[2,6]"
"op-mul","simple",TRUE,4,NA,NA,2,6,FALSE,1e-05,2.15698497713174e-06,"U[2,6]"
"op-mul","input.size",FALSE,250,0.25,0.5,2,6,FALSE,1e-05,6.25764148215599,"U[2,6]"
"op-mul","input.size",FALSE,275,0.25,0.5,2,6,FALSE,1e-05,9.16182823086431,"U[2,6]"
"op-mul","input.size",FALSE,4,0.25,0.5,2,6,FALSE,1e-05,7.10447187461865e-08,"U[2,6]"
"op-mul","input.size",FALSE,10,0.25,0.5,2,6,FALSE,1e-05,1.50963254949495e-05,"U[2,6]"
"op-mul","input.size",FALSE,25,0.25,0.5,2,6,FALSE,1e-05,0.00061434412137615,"U[2,6]"
"op-mul","input.size",FALSE,50,0.25,0.5,2,6,FALSE,1e-05,0.0100300625022475,"U[2,6]"
"op-mul","input.size",FALSE,75,0.25,0.5,2,6,FALSE,1e-05,0.0508248423859086,"U[2,6]"
"op-mul","overlap.ratio",FALSE,100,0.25,0,2,6,FALSE,1e-05,0.160530129259733,"U[2,6]"
"op-mul","overlap.ratio",FALSE,100,0.25,0.1,2,6,FALSE,1e-05,0.16045166805466,"U[2,6]"
"op-mul","overlap.ratio",FALSE,100,0.25,0.25,2,6,FALSE,1e-05,0.160285573067782,"U[2,6]"
"op-mul","overlap.ratio",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,0.160070635676768,"U[2,6]"
"op-mul","overlap.ratio",FALSE,100,0.25,0.75,2,6,FALSE,1e-05,0.159799243105555,"U[2,6]"
"op-mul","input.size",FALSE,225,0.25,0.5,2,6,FALSE,1e-05,4.10474111311836,"U[2,6]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,-6,-2,FALSE,1e-05,0.160033502955603,"U[-6,-2]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,2,6,TRUE,1e-05,0.000230791372357126,"U[-6,-2] ∪ U[2,6]"
"op-mul","input.size",FALSE,300,0.25,0.5,2,6,FALSE,1e-05,12.9701834666448,"U[2,6]"
"op-mul","subset.ratio",FALSE,100,0.05,0.5,2,6,FALSE,1e-05,0.0288476961330465,"U[2,6]"
"op-mul","subset.ratio",FALSE,100,0.1,0.5,2,6,FALSE,1e-05,0.0758186960441408,"U[2,6]"
"op-mul","subset.ratio",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,0.160009150436869,"U[2,6]"
"op-mul","subset.ratio",FALSE,100,0.5,0.5,2,6,FALSE,1e-05,0.00222143839569257,"U[2,6]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,1,5,FALSE,1e-05,0.0507585979471761,"U[1,5]"
"op-mul","overlap.ratio",FALSE,100,0.25,1,2,6,FALSE,1e-05,0.159486541255514,"U[2,6]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,0.160002722054454,"U[2,6]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,1.2,6,FALSE,1e-05,0.105278044660782,"U[1.2,6]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,20,40,FALSE,1e-05,505.511905568027,"U[20,40]"
"op-mul","extrapolation.range",FALSE,100,0.25,0.5,0.2,2,FALSE,1e-05,0.000920448089643408,"U[0.2,2]"
"op-root","default",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,8.95296106466425e-09,"U[2,6]"
"op-squared","default",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,0.159465862256244,"U[2,6]"
"op-sub","simple",TRUE,4,NA,NA,2,6,FALSE,1e-05,2.66448914878563e-08,"U[2,6]"
"op-sub","default",FALSE,100,0.25,0.5,2,6,FALSE,1e-05,1.38545599456456e-08,"U[2,6]"
